2000 5 4
-0.000000 0.000000 0.000177 0.034705
-0.000000 0.000000 0.000114 0.000828
-0.000000 0.000000 0.004134 0.197769
-0.000000 0.000001 0.093635 0.668599
-0.000000 0.000000 0.000011 0.000026
-0.000000 -0.000000 0.000000 0.001715
0.000000 0.000000 0.000001 0.007038
0.000000 0.000000 0.000009 0.490623
0.000000 0.000000 0.000025 0.203764
0.000000 0.000000 0.000115 0.296709
0.000000 0.000278 0.000523 0.009404
-0.000000 0.000299 0.000532 0.000352
0.000000 0.004692 0.036600 0.160162
0.000000 0.007869 0.457483 0.298790
-0.000000 0.000663 0.018468 0.003885
0.000000 0.000000 0.000000 0.978682
0.000000 0.000000 0.000000 0.000266
-0.000000 0.000000 0.000000 0.013002
-0.000000 0.000000 0.000000 0.007838
0.000000 -0.000000 0.000000 0.000212
0.000000 0.000000 0.000478 0.978074
-0.000000 0.000000 0.000004 0.000266
-0.000000 0.000000 0.000026 0.012994
-0.000000 0.000000 0.000105 0.007833
0.000000 0.000000 0.000009 0.000212
-0.000000 0.000277 0.004116 0.531929
-0.000000 0.000045 0.000637 0.003032
0.000000 0.000098 0.006064 0.190801
-0.000000 0.000095 0.043763 0.205524
-0.000000 0.000025 0.005410 0.008183
0.000000 0.000325 0.002663 0.002031
-0.000000 0.002195 0.016961 0.000476
-0.000000 0.007037 0.238543 0.044309
-0.000000 0.001631 0.412022 0.011423
-0.000000 0.002116 0.255984 0.002286
0.000000 0.001528 0.000941 0.000032
-0.000000 0.584401 0.339654 0.000422
0.000000 0.012683 0.032331 0.000266
-0.000000 0.001309 0.024869 0.000031
0.000000 0.000152 0.001382 0.000001
-0.000000 0.000005 0.005713 0.922221
-0.000000 0.000001 0.000758 0.004507
0.000000 0.000000 0.000863 0.033911
-0.000000 0.000000 0.004230 0.024818
0.000000 0.000000 0.001029 0.001944
-0.000000 0.042209 0.102881 0.805180
0.000000 0.000331 0.000760 0.000219
-0.000000 0.000557 0.005613 0.010697
0.000000 0.000302 0.022673 0.006449
0.000000 0.000053 0.001902 0.000174
-0.000000 0.001805 0.000048 0.000000
-0.000000 0.056221 0.001397 0.000000
-0.000000 0.267609 0.029169 0.000001
-0.000000 0.317717 0.258098 0.000002
0.000000 0.048908 0.019024 0.000000
-0.000000 0.006454 0.000000 0.000000
-0.000000 0.617482 0.000016 0.000000
0.000000 0.158721 0.000018 0.000000
-0.000000 0.208503 0.000171 0.000000
-0.000000 0.008631 0.000003 0.000000
-0.000000 0.000864 0.000000 0.000000
-0.000000 0.841448 0.000154 0.000000
0.000000 0.148469 0.000119 0.000000
-0.000000 0.008888 0.000053 0.000000
0.000000 0.000005 0.000000 -0.000000
0.000000 0.000006 0.001025 0.012449
0.000000 0.000027 0.004272 0.001910
0.000000 0.000041 0.028519 0.084346
0.000000 0.000116 0.597884 0.263914
-0.000000 0.000002 0.004806 0.000683
